strategy,observed_count,observed_fraction,repeat,rank,beta,sigma_min,sigma_min_nonzero,condition_number,noise_amplification,noiseless_relative_error,noisy_ls_relative_error,noisy_ridge_relative_error
tree_first,20,0.8,2,10,10,0.5104155980984736,0.5104155980984736,1.9591877750708397,1.9591877750708389,5.811463456374355e-15,0.07935944233366658,0.08136619550116587
chord_first,20,0.8,2,10,10,0.6276017884644597,0.6276017884644597,1.5933670336515129,1.5933670336515122,6.3467479840346516e-15,0.08106184672556777,0.07966095528773853
rank_greedy,20,0.8,2,10,10,0.7071067811865475,0.7071067811865475,1.414213562373096,1.4142135623730951,5.3837231811312645e-15,0.05264759055455261,0.04961366666981656
random,20,0.8,2,10,10,0.5336747363045582,0.5336747363045582,1.8738005230011843,1.8738005230011838,5.318651993048589e-15,0.05081378101380463,0.05138677621317667
tree_first,20,0.8,3,10,10,0.5104155980984736,0.5104155980984736,1.9591877750708397,1.9591877750708389,5.811463456374355e-15,0.0732359220612004,0.08498555917305768
chord_first,20,0.8,3,10,10,0.6276017884644597,0.6276017884644597,1.5933670336515129,1.5933670336515122,6.3467479840346516e-15,0.06676106340841355,0.06493035064262387
rank_greedy,20,0.8,3,10,10,0.7071067811865475,0.7071067811865475,1.414213562373096,1.4142135623730951,5.3837231811312645e-15,0.06307536998192265,0.06749033859217496
random,20,0.8,3,10,10,0.7033365383755946,0.7033365383755946,1.4217944688464093,1.4217944688464084,5.185169430563076e-15,0.057120347747866146,0.05650569010526355
tree_first,20,0.8,4,10,10,0.5104155980984736,0.5104155980984736,1.9591877750708397,1.9591877750708389,5.811463456374355e-15,0.08391212889597728,0.08271896906026206
chord_first,20,0.8,4,10,10,0.6276017884644597,0.6276017884644597,1.5933670336515129,1.5933670336515122,6.3467479840346516e-15,0.10913243043813874,0.10788621144151976
rank_greedy,20,0.8,4,10,10,0.7071067811865475,0.7071067811865475,1.414213562373096,1.4142135623730951,5.3837231811312645e-15,0.050377104585474085,0.05357677611820123
random,20,0.8,4,10,10,0.6042543426323255,0.6042543426323255,1.6549322519449015,1.6549322519449008,5.2869818271730975e-15,0.08361907692167686,0.08401341633370411
tree_first,20,0.8,5,10,10,0.5104155980984736,0.5104155980984736,1.9591877750708397,1.9591877750708389,5.811463456374355e-15,0.07836380428345585,0.07464284367900846
chord_first,20,0.8,5,10,10,0.6276017884644597,0.6276017884644597,1.5933670336515129,1.5933670336515122,6.3467479840346516e-15,0.06432752031367399,0.06361663082553558
rank_greedy,20,0.8,5,10,10,0.7071067811865475,0.7071067811865475,1.414213562373096,1.4142135623730951,5.3837231811312645e-15,0.042499832301779054,0.04777386905252438
